transactionID,userID,username,userType,helpID,Date,Time,Cat,Opt,Org,OrgAdd,OrgCoord,Dest,DestAdd,DestCoord,AddInfo
00001100001,00001,adelle,1,00001,2021-12-01,10:00:00,Errands,Flat maintenance,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,NONE
00005100001,00005,dsa,1,00001,2021-12-03,13:00:00,Translate,German,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,NONE
00001100002,00001,adelle,1,00002,2021-12-03,14:00:00,Ride,NA,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",Berlin Social Science Center,"Wissenschaftszentrum Berlin für Sozialforschung, Hitzigallee, Botschaftsviertel, Tiergarten, Mitte, Berlin, 10785, Deutschland","(52.506651250000004, 13.365106094794523)",NONE
00001100003,00001,adelle,1,00003,2021-12-05,13:00:00,Translate,German,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,NONE
00013100001,00013,janine,1,00001,2021-12-30,10:00:00,Errands,Flat maintenance,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,NONE
00013100002,00013,janine,1,00002,2021-12-01,10:00:00,Translate,Swedish,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,NONE
00013100003,00013,janine,1,00003,2021-12-30,10:00:00,Ride,NA,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",Berlin Mall,"Mall of Berlin, 12, Leipziger Platz, Mitte, Berlin, 10117, Deutschland","(44.217210800000004, -72.56441203661959)",NONE
00013100004,00013,janine,1,00004,2021-11-30,10:00:00,Translate,Hindi,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,NONE
00013100005,00013,janine,1,00005,2021-12-01,10:00:00,Translate,German,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,NONE
00013100006,00013,janine,1,00006,2021-12-30,10:00:00,Translate,Japanese,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,Basic conversational Japanese
