transactionID,userID,username,userType,helpID,Date,Time,Cat,Opt,Org,OrgAdd,OrgCoord,Dest,DestAdd,DestCoord,AddInfo,TimeStamp
00014200001,00014,offer1,2,00001,2021-12-02,19:00:00,Translate,German,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,Conversational German,2021-11-03 09:28:50
00013200001,00013,janine,2,00001,2021-12-05,18:00:00,Tutor,Statistics,Waßmannsdorfer Chaussee 50,"Waßmannsdorfer Chaussee, Rudow, Neukölln, Berlin, 12355, Deutschland","(52.41059, 13.4936857)",NA,NA,NA,Probability theory,2021-11-06 01:22:13
00013200002,00013,janine,2,00002,2021-12-25,10:00:00,Errands,Take care of pets/plants,Waßmannsdorfer Chaussee 50,"Waßmannsdorfer Chaussee, Rudow, Neukölln, Berlin, 12355, Deutschland","(52.41059, 13.4936857)",NA,NA,NA,Can take care of dogs,2021-11-08 10:32:12
00013200003,00013,janine,2,00003,2021-12-11,18:00:00,Ride,NA,Waßmannsdorfer Chaussee 50,"Waßmannsdorfer Chaussee, Rudow, Neukölln, Berlin, 12355, Deutschland","(52.41059, 13.4936857)",Leopoldstraße 29,"29, Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(52.5031238, 13.4883772)",NONE,2021-11-08 10:45:32
00015200001,00015,helper1,2,00001,2021-12-03,17:00:00,Translate,Russian,Hertie School,"Hertie School of Governance, 180, Friedrichstraße, Mitte, Berlin, 10117, Deutschland","(52.5128055, 13.3893204)",NA,NA,NA,Survival Russian,2021-11-09 11:12:45
00015200002,00015,helper1,2,00002,2021-12-10,10:00:00,Translate,Japanese,Berlin Wall,"Berliner Mauer, Mühlenstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland","(52.5062255, 13.4374946)",NA,NA,NA,Conversational Japanese,2021-11-10 13:45:42
00017200001,00017,helper2,2,00001,2021-12-16,18:00:00,Errands,Take care of pets/plants,Leopoldstraße 29,"29, Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(52.5031238, 13.4883772)",NA,NA,NA,Can take care of plants,2021-11-11 12:47:53
00017200002,00017,helper2,2,00002,2022-01-01,08:00:00,Translate,German,Leopoldstraße 29,"29, Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(52.5031238, 13.4883772)",NA,NA,NA,Basic German,2021-11-12 15:03:17
00015200003,00015,helper1,2,00003,2022-02-08,09:00:00,Translate,Polish,Berlin Wall,"Berliner Mauer, Mühlenstraße, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland","(52.5062255, 13.4374946)",NA,NA,NA,Business language,2021-11-12 22:25:32
00014200002,00014,offer1,2,00002,2021-12-14,19:00:00,Ride,NA,Genslerstraße 28,"28, Genslerstraße, Alt-Hohenschönhausen, Lichtenberg, Berlin, 13055, Deutschland","(52.536257, 13.4971488)",Leopoldstraße 75,"Leopoldstraße, Weitlingkiez, Rummelsburg, Lichtenberg, Berlin, 10317, Deutschland","(51.75594675, 11.98356660272162)",NONE,2021-11-14 16:38:51
